Tanggal,Kasus Harian,Total kasus,Kasus aktif,% kasus aktif,Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),Meninggal Dunia,Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),Suspek aktif,Jumlah orang diperiksa,Negatif,Spesimen
7-Oct,1393,4224487,27747,0.66%,4054246,95.97%,96.60%,142494,3.37%,3.40%,"213,616",27334864,23110377,259555
8-Oct,1384,4225871,25551,0.60%,4057760,96.02%,96.61%,142560,3.37%,3.39%,"253,067",27516374,23290503,268146
9-Oct,1167,4227038,25159,0.60%,4059267,96.03%,96.61%,142612,3.37%,3.39%,"292,253",27699284,23472246,267050
10-Oct,894,4227932,24430,0.58%,4060851,96.05%,96.61%,142651,3.37%,3.39%,"331,377",27843954,23616022,219649
11-Oct,620,4228552,22541,0.53%,4063295,96.09%,96.61%,142716,3.38%,3.39%,"368,489",27995294,23766742,225083
12-Oct,1261,4229813,21625,0.51%,4065425,96.11%,96.61%,142763,3.38%,3.39%,"396,064",28186327,23956514,276363
13-Oct,1233,4231046,20551,0.49%,4067684,96.14%,96.61%,142811,3.38%,3.39%,"424,799",28367503,24136457,261731
14-Oct,1053,4232099,19852,0.47%,4069399,96.16%,96.61%,142848,3.38%,3.39%,,28533210,24301111,258945
15-Oct,915,4233014,19318,0.46%,4070807,96.17%,96.61%,142889,3.38%,3.39%,,28713630,24480616,267338
16-Oct,997,4234011,18746,0.44%,4072332,96.18%,96.61%,142933,3.38%,3.39%,,28893860,24659849,270811
17-Oct,747,4234758,18388,0.43%,4073418,96.19%,96.61%,142952,3.38%,3.39%,,29040820,24806062,223929
18-Oct,626,4235384,17374,0.41%,4075011,96.21%,96.61%,142999,3.38%,3.39%,,29186549,24951165,215213
19-Oct,903,4236287,16697,0.39%,4076541,96.23%,96.61%,143049,3.38%,3.39%,,29362005,25125718,260343
20-Oct,914,4237201,16376,0.39%,4077748,96.24%,96.61%,143077,3.38%,3.39%,,29518351,25281150,248113
21-Oct,633,4237834,15594,0.37%,4079120,96.25%,96.61%,143120,3.38%,3.39%,,29666843,25429009,218399
22-Oct,760,4238594,15090,0.36%,4080351,96.27%,96.61%,143153,3.38%,3.39%,,29832090,25593496,250740
23-Oct,802,4239396,14803,0.35%,4081417,96.27%,96.61%,143176,3.38%,3.39%,,29993954,25754558,250587
24-Oct,623,4240019,14360,0.34%,4082454,96.28%,96.61%,143205,3.38%,3.39%,,30128236,25888217,214745
25-Oct,460,4240479,13554,0.32%,4083690,96.30%,96.61%,143235,3.38%,3.39%,,30265853,26025374,215822
26-Oct,611,4241090,12989,0.31%,4084831,96.32%,96.61%,143270,3.38%,3.39%,,30443930,26202840,259064
27-Oct,719,4241809,12735,0.30%,4085775,96.32%,96.61%,143299,3.38%,3.39%,,30627749,26385940,260451
28-Oct,723,4242532,12440,0.29%,4086759,96.33%,96.61%,143333,3.38%,3.39%,,30791978,26549446,259541
29-Oct,683,4243215,12414,0.29%,4087440,96.33%,96.61%,143361,3.38%,3.39%,,30952719,26709504,244392
