New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
84,56,,25/01/2021,11800 ,34400 ,119750 ,27000 ,31900 ,28050 ,47600 ,67300 ,14500 ,14400 ,39670 
85,57,,26/01/2021,11800 ,34200 ,119750 ,26900 ,31950 ,28050 ,47550 ,67050 ,14500 ,14400 ,39615 
86,58,,27/01/2021,11850 ,34350 ,119850 ,26900 ,32000 ,28050 ,47250 ,68200 ,14500 ,14450 ,39740 
87,59,,28/01/2021,11800 ,34050 ,119550 ,25750 ,31700 ,28750 ,46700 ,66750 ,14500 ,14400 ,39395 
88,60,,29/01/2021,11850 ,33700 ,119950 ,26650 ,31650 ,28000 ,47650 ,67600 ,14500 ,14400 ,39595 
89,,,1/30/2021,11810 ,33750 ,119650 ,26210 ,31550 ,28160 ,47990 ,67460 ,14500 ,14400 ,39548 
90,,,1/31/2021,11810 ,33750 ,119650 ,26210 ,31550 ,28160 ,47990 ,67460 ,14500 ,14400 ,39548 
91,61,,01/02/2021,11800 ,33550 ,119600 ,26200 ,31450 ,27900 ,48350 ,67350 ,14500 ,14400 ,39510 
92,62,,02/02/2021,11800 ,33700 ,119500 ,26250 ,31400 ,28000 ,49250 ,68150 ,14500 ,14400 ,39695 
93,63,,03/02/2021,11800 ,33550 ,119550 ,26300 ,31300 ,28000 ,50300 ,68700 ,14500 ,14350 ,39835 
94,64,,04/02/2021,11800 ,33750 ,119550 ,26300 ,31350 ,27950 ,50550 ,68700 ,14500 ,14350 ,39880 
95,65,,05/02/2021,11800 ,33800 ,119550 ,25550 ,31250 ,27950 ,50800 ,68500 ,14500 ,14350 ,39805 
96,,,2/6/2021,11800 ,34040 ,119560 ,25840 ,31300 ,27960 ,50740 ,68960 ,14500 ,14360 ,39906 
97,,,2/7/2021,11800 ,34040 ,119560 ,25840 ,31300 ,27960 ,50740 ,68960 ,14500 ,14360 ,39906 
98,66,,08/02/2021,11800 ,34250 ,119500 ,25750 ,31250 ,27950 ,50850 ,69300 ,14500 ,14350 ,39950 
99,67,,09/02/2021,11800 ,34350 ,119650 ,25750 ,31350 ,28000 ,50750 ,69350 ,14500 ,14400 ,39990 
100,68,,10/02/2021,11800 ,34550 ,119650 ,25750 ,31750 ,28050 ,50250 ,69300 ,14500 ,14350 ,39995 
101,69,,11/02/2021,11800 ,34550 ,119650 ,25850 ,32050 ,28250 ,50750 ,69400 ,14500 ,14350 ,40115 
102,,,2/12/2021,11800,34610,119650,25890,32260,28410,49560,69980,14500,14360,40102 
103,,,2/13/2021,11800 ,34610 ,119650 ,25890 ,32260 ,28410 ,49560 ,69980 ,14500 ,14360 ,40102 
104,,,2/14/2021,11800 ,34610 ,119650 ,25890 ,32260 ,28410 ,49560 ,69980 ,14500 ,14360 ,40102 
105,70,Feb,15/02/2021,11800 ,34700 ,119650 ,25950 ,32700 ,28600 ,49050 ,70650 ,14500 ,14350 ,40195 
106,71,,16/02/2021,11800 ,34750 ,119650 ,26000 ,32750 ,28700 ,48350 ,70150 ,14500 ,14350 ,40100 
107,72,,17/02/2021,11800 ,34750 ,119650 ,26050 ,32950 ,28850 ,48200 ,71000 ,14500 ,14350 ,40210 
108,73,,18/02/2021,11800 ,34700 ,119600 ,26000 ,32900 ,28950 ,48000 ,72000 ,14500 ,14400 ,40285 
109,74,,19/02/2021,11800 ,34750 ,119600 ,26000 ,32850 ,28950 ,47600 ,72100 ,14500 ,14350 ,40250 
110,,,2/20/2021,11800 ,34680 ,119600 ,25930 ,33140 ,29090 ,47330 ,72880 ,14500 ,14340 ,40329 
111,,,2/21/2021,11800 ,34680 ,119600 ,25930 ,33140 ,29090 ,47330 ,72880 ,14500 ,14340 ,40329 
112,75,,22/02/2021,11800 ,34650 ,119600 ,25900 ,33300 ,29250 ,47100 ,73500 ,14500 ,14300 ,40390 
113,76,,23/02/2021,11800 ,34600 ,119600 ,25800 ,33500 ,29200 ,46600 ,73900 ,14500 ,14300 ,40380 
114,77,,24/02/2021,11800 ,34550 ,119600 ,25750 ,33650 ,29350 ,46400 ,74850 ,14500 ,14300 ,40475 
115,78,,25/02/2021,11800 ,34500 ,119600 ,25850 ,33750 ,29400 ,46350 ,75300 ,14500 ,14300 ,40535 
116,79,,26/02/2021,11800 ,34450 ,119800 ,25800 ,33850 ,29500 ,46500 ,75450 ,14550 ,14300 ,40600 
117,,,2/27/2021,11800 ,34430 ,119610 ,25790 ,34060 ,29460 ,46660 ,76180 ,14540 ,14300 ,40683 
